Order ID,Created At,Customer ID,Customer Email,Product Title,Variant Title,Quantity,Unit Price,Total Discount,Total,Financial Status,Country,Sales Channel
#1148,2025-06-17 04:57:29,CUST-01560,felix.wagner701@example.com,Linen Throw Blanket,Natural,1,81.31,0.0,81.31,paid,AT,online_store
#2917,2025-06-17 07:42:27,CUST-00312,julia.braun837@example.com,Botanical Print A3,Fern,2,28.65,0.0,57.3,paid,DE,draft_order
#1907,2025-06-17 07:51:32,CUST-00458,emma.mueller475@example.com,Soy Wax Candle — Cedar,Set of 3,1,24.33,0.0,24.33,pending,GB,online_store
#1907,2025-06-17 07:51:32,CUST-00458,emma.mueller475@example.com,Soy Wax Candle — Cedar,Single,1,24.64,0.0,24.64,PENDING,GB,online_store
#1907,2025-06-17 07:51:32,CUST-00458,emma.mueller475@example.com,Linen Throw Blanket,Charcoal,1,80.38,0.0,80.38,pending,GB,online_store
#2052,2025-06-17 12:18:38,CUST-01148,luis.mueller506@example.com,Soy Wax Candle — Cedar,Set of 3,1,24.35,0.0,24.35,paid,DE,online_store
#1883,2025-06-17 13:37:17,CUST-01234,clara.braun591@example.com,Walnut Serving Board,Large,2,54.96,0.0,109.92,refunded,US,online_store
#1883,2025-06-17 13:37:17,CUST-01234,clara.braun591@example.com,Soy Wax Candle — Cedar,Single,2,23.82,0.0,47.64,refunded,US,online_store
#2153,2025-06-17 16:21:26,CUST-00735,jonas.wagner762@example.com,Aurora Ceramic Mug,White / 350ml,1,17.56,0.0,17.56,paid,US,online_store
#2153,2025-06-17 16:21:26,CUST-00735,jonas.wagner762@example.com,Soy Wax Candle — Cedar,Set of 3,1,24.09,0.0,24.09,paid,US,online_store
#3611,2025-06-17 16:33:38,CUST-00246,anna.schwarz544@example.com,Stoneware Dinner Plate Set,Set of 4,2,96.39,0.0,192.78,paid,DE,online_store
#3468,2025-06-17 16:55:41,CUST-00840,max.wagner666@example.com,Organic Cotton Tote,Cream,1,15.01,0.0,15.01,paid,CH,online_store
#3257,2025-06-17 22:20:41,CUST-01581,ben.braun755@example.com,Aurora Ceramic Mug,White / 350ml,1,18.18,0.0,18.18,refunded,GB,online_store
#3257,2025-06-17 22:20:41,CUST-01581,ben.braun755@example.com,Aurora Ceramic Mug,Sage / 350ml,1,18.27,0.0,18.27,refunded,GB,online_store
#2034,2025-06-18 04:35:07,CUST-01172,anna.hartmann817@example.com,Merino Wool Beanie,Forest,2,32.5,0.0,65.0,paid,DE,online_store
#1177,2025-06-18 11:30:42,CUST-00850,anna.schmidt258@example.com,Linen Throw Blanket,Charcoal,1,78.67,0.0,78.67,paid,DE,online_store
#1224,2025-06-18 12:54:54,CUST-01404,luis.neumann14@example.com,Organic Cotton Tote,Navy,1,14.62,1.91,12.71,paid,DE,online_store
#1466,2025-06-18 13:10:05,CUST-00914,tom.mueller143@example.com,Linen Throw Blanket,Natural,1,80.86,0.0,80.86,paid,US,online_store
#1466,2025-06-18 13:10:05,CUST-00914,tom.mueller143@example.com,Soy Wax Candle — Cedar,Set of 3,1,23.28,0.0,23.28,paid,US,online_store
#1466,2025-06-18 13:10:05,CUST-00914,tom.mueller143@example.com,Linen Throw Blanket,Charcoal,1,80.71,0.0,80.71,paid,US,online_store
#1689,2025-06-18 13:27:24,CUST-00167,nina.mueller689@example.com,Organic Cotton Tote,Navy,2,14.98,0.0,29.96,paid,NL,pos
#1067,2025-06-18 14:51:47,CUST-00495,luis.braun543@example.com,Aurora Ceramic Mug,Black / 350ml,1,18.47,0.0,18.47,paid,FR,online_store
#1504,2025-06-18 15:55:46,CUST-01319,noah.fischer739@example.com,Botanical Print A3,Eucalyptus,1,28.27,4.05,24.22,paid,,online_store
#3211,2025-06-18 18:33:04,CUST-00055,erik.schmidt430@example.com,Soy Wax Candle — Cedar,Single,1,24.62,0.0,24.62,PAID,GB,draft_order
#3127,2025-06-18 19:30:45,CUST-00759,nina.hoffmann731@example.com,Recycled Glass Vase,Amber,1,41.08,0.0,41.08,paid,DE,online_store
#1632,2025-06-18 19:52:37,CUST-00283,tom.krueger779@example.com,Recycled Glass Vase,Smoke,1,43.09,0.0,43.09,paid,GB,pos
#1632,2025-06-18 19:52:37,CUST-00283,tom.krueger779@example.com,Merino Wool Beanie,Forest,1,32.37,0.0,32.37,paid,GB,pos
#1632,2025-06-18 19:52:37,CUST-00283,tom.krueger779@example.com,Recycled Glass Vase,Amber,2,42.7,0.0,85.4,paid,GB,pos
#2657,2025-06-18 20:38:27,CUST-00126,laura.schwarz204@example.com,Linen Throw Blanket,Rust,1,77.4,9.3,68.1,paid,DE,draft_order
#3649,2025-06-19 11:21:53,CUST-01545,emma.wolf672@example.com,Walnut Serving Board,Small,1,54.62,0.0,54.62,paid,GB,online_store
#1645,2025-06-19 12:34:49,CUST-01577,ben.mueller925@example.com,Stoneware Dinner Plate Set,Set of 4,1,94.56,0.0,94.56,paid,,online_store
#1645,2025-06-19 12:34:49,CUST-01577,ben.mueller925@example.com,Linen Throw Blanket,Charcoal,1,77.45,0.0,77.45,paid,DE,online_store
#3890,2025-06-19 13:50:09,CUST-01339,marie.mueller475@example.com,Soy Wax Candle — Cedar,Single,3,24.3,0.0,72.9,paid,FR,online_store
#3594,2025-06-19 14:20:44,CUST-01396,clara.hartmann838@example.com,Recycled Glass Vase,Smoke,1,41.59,0.0,41.59,paid,DE,online_store
#2401,2025-06-19 16:33:31,CUST-00472,jonas.klein148@example.com,Recycled Glass Vase,Smoke,1,40.75,0.0,40.75,paid,NL,online_store
#3435,2025-06-19 16:38:42,CUST-01387,mia.mueller937@example.com,Aurora Ceramic Mug,White / 350ml,1,17.48,0.0,17.48,paid,DE,instagram
#3107,2025-06-19 23:27:44,CUST-00221,clara.schwarz963@example.com,Brass Pour-Over Stand,Standard,1,66.57,0.0,66.57,paid,US,online_store
#4100,2025-06-19 23:33:44,CUST-01069,julia.wagner310@example.com,Soy Wax Candle — Cedar,Single,1,24.19,0.0,24.19,paid,DE,online_store
#2854,2025-06-20 11:06:08,CUST-00179,mia.koch935@example.com,Linen Throw Blanket,Rust,3,80.1,0.0,240.3,paid,DE,pos
#1870,2025-06-20 11:27:51,CUST-00878,felix.fischer949@example.com,Merino Wool Beanie,Oat,1,32.42,0.0,32.42,paid,US,online_store
#3881,2025-06-20 13:17:50,CUST-01609,ben.braun975@example.com,Stoneware Dinner Plate Set,Set of 6,1,93.45,0.0,93.45,paid,NL,online_store
#3881,2025-06-20 13:17:50,CUST-01609,ben.braun975@example.com,Stoneware Dinner Plate Set,Set of 6,1,93.45,0.0,93.45,paid,NL,online_store
#4300,2025-06-20 13:50:20,CUST-01353,mia.hoffmann469@example.com,Aurora Ceramic Mug,White / 350ml,1,17.79,0.0,17.79,paid,DE,instagram
#4300,2025-06-20 13:50:20,CUST-01353,mia.hoffmann469@example.com,Aurora Ceramic Mug,Black / 350ml,1,18.43,0.0,18.43,paid,DE,instagram
#4120,2025-06-20 16:07:28,CUST-00481,sofia.schwarz566@example.com,Aurora Ceramic Mug,Sage / 350ml,1,18.26,0.0,18.26,paid,DE,online_store
#4120,2025-06-20 16:07:28,CUST-00481,sofia.schwarz566@example.com,Linen Throw Blanket,Rust,1,78.49,0.0,78.49,paid,DE,online_store
#3290,2025-06-20 16:53:43,CUST-00757,emma.hartmann266@example.com,Walnut Serving Board,Large,1,54.37,9.76,44.61,paid,AT,online_store
#3277,2025-06-20 20:24:21,CUST-01406,paul.weber516@example.com,Recycled Glass Vase,Smoke,1,42.63,0.0,42.63,paid,DE,pos
#1468,2025-06-20 22:32:39,CUST-00610,erik.klein708@example.com,Merino Wool Beanie,Oat,1,31.36,5.04,26.32,paid,DE,online_store
#2590,2025-06-21 08:22:38,CUST-00967,mia.schwarz841@example.com,Brass Pour-Over Stand,Standard,1,68.88,0.0,68.88,paid,US,online_store
#3434,2025-06-21 11:16:07,CUST-00596,felix.becker898@example.com,Merino Wool Beanie,Oat,1,32.14,4.3,27.84,paid,DE,online_store
#1427,2025-06-21 14:04:02,CUST-00291,noah.wolf87@example.com,Aurora Ceramic Mug,White / 350ml,2,18.01,0.0,36.02,paid,US,online_store
#2698,2025-06-21 15:35:41,CUST-00864,erik.koch699@example.com,Linen Throw Blanket,Charcoal,1,79.85,0.0,79.85,paid,AT,online_store
#3331,2025-06-21 16:20:50,CUST-00007,max.richter748@example.com,Aurora Ceramic Mug,Black / 350ml,1,17.54,0.0,17.54,paid,US,online_store
#4119,2025-06-21 17:17:04,CUST-00530,erik.wagner618@example.com,Botanical Print A3,Fern,1,27.42,0.0,27.42,paid,AT,pos
#4119,2025-06-21 17:17:04,CUST-00530,erik.wagner618@example.com,Soy Wax Candle — Cedar,Single,1,24.43,0.0,24.43,paid,AT,pos
#2058,2025-06-21 18:43:20,CUST-00831,nina.weber462@example.com,Linen Throw Blanket,Natural,1,77.77,0.0,77.77,paid,US,online_store
#3558,2025-06-21 18:51:56,CUST-00699,ben.hartmann360@example.com,Soy Wax Candle — Cedar,Single,1,23.45,0.0,23.45,refunded,US,online_store
#3558,2025-06-21 18:51:56,CUST-00699,ben.hartmann360@example.com,Organic Cotton Tote,Cream,1,14.96,0.0,14.96,refunded,US,online_store
#2150,2025-06-21 19:14:48,CUST-00530,erik.wagner618@example.com,Botanical Print A3,Eucalyptus,1,28.14,3.3,24.84,paid,AT,draft_order
#3585,2025-06-21 21:17:32,CUST-00760,luis.hartmann688@example.com,Aurora Ceramic Mug,Black / 350ml,1,17.52,0.0,17.52,paid,US,online_store
#1066,2025-06-22 06:07:55,CUST-00849,felix.schmidt397@example.com,Brass Pour-Over Stand,Standard,1,68.65,0.0,68.65,paid,US,draft_order
#1066,2025-06-22 06:07:55,CUST-00849,felix.schmidt397@example.com,Merino Wool Beanie,Forest,3,32.88,0.0,98.64,paid,US,draft_order
#3982,2025-06-22 10:39:51,CUST-00942,ben.hartmann573@example.com,Aurora Ceramic Mug,Black / 350ml,1,17.75,0.0,17.75,PAID,US,online_store
#1421,2025-06-22 11:05:23,CUST-00747,sofia.richter526@example.com,Walnut Serving Board,Large,1,52.73,0.0,52.73,paid,,pos
#1610,2025-06-22 11:59:54,CUST-00010,jonas.klein876@example.com,Walnut Serving Board,Small,2,52.62,0.0,105.24,paid,DE,online_store
#1595,2025-06-22 12:49:04,CUST-01605,marie.braun7@example.com,Organic Cotton Tote,Navy,1,14.68,0.0,14.68,pending,DE,online_store
#1669,2025-06-22 12:51:08,CUST-00454,ben.neumann392@example.com,Botanical Print A3,Olive,1,27.62,0.0,27.62,paid,US,draft_order
#2160,2025-06-22 13:05:26,CUST-00746,nina.hoffmann663@example.com,Walnut Serving Board,Small,2,53.62,0.0,107.24,paid,DE,pos
#1360,2025-06-22 16:14:53,CUST-01128,jonas.braun43@example.com,Aurora Ceramic Mug,Black / 350ml,3,18.39,0.0,55.17,paid,GB,online_store
#1360,2025-06-22 16:14:53,CUST-01128,jonas.braun43@example.com,Soy Wax Candle — Cedar,Single,2,23.88,0.0,47.76,paid,GB,online_store
#2681,2025-06-22 17:21:23,CUST-00340,laura.krueger396@example.com,Botanical Print A3,Fern,1,27.95,0.0,27.95,refunded,DE,instagram
#2102,2025-06-22 17:59:54,CUST-01613,lena.schmidt731@example.com,Merino Wool Beanie,Oat,1,32.44,0.0,32.44,paid,FR,pos
#3606,2025-06-22 18:29:51,CUST-00473,liam.braun571@example.com,Organic Cotton Tote,Cream,1,15.12,0.0,15.12,paid,US,online_store
#3847,2025-06-22 18:53:52,CUST-00843,felix.braun536@example.com,Stoneware Dinner Plate Set,Set of 6,1,94.72,0.0,94.72,paid,DE,online_store
#2460,2025-06-22 19:03:58,CUST-01493,emma.schmidt679@example.com,Botanical Print A3,Fern,2,28.26,0.0,56.52,paid,FR,instagram
#1090,2025-06-22 20:38:15,CUST-00120,luis.schmidt359@example.com,Stoneware Dinner Plate Set,Set of 4,1,95.04,13.4,81.64,paid,DE,online_store
#4504,2025-06-22 21:58:15,CUST-01118,felix.krueger842@example.com,Linen Throw Blanket,Natural,1,79.49,0.0,79.49,paid,AT,online_store
#4504,2025-06-22 21:58:15,CUST-01118,felix.krueger842@example.com,Soy Wax Candle — Cedar,Set of 3,1,23.65,0.0,23.65,paid,AT,online_store
#2784,2025-06-23 09:31:28,CUST-00294,ben.wolf54@example.com,Brass Pour-Over Stand,Standard,3,69.3,0.0,207.9,paid,FR,online_store
#1198,2025-06-23 12:29:07,CUST-00898,mia.mueller647@example.com,Walnut Serving Board,Small,1,55.32,0.0,55.32,paid,DE,online_store
#4121,2025-06-23 19:00:42,CUST-01381,max.klein896@example.com,Merino Wool Beanie,Forest,1,32.75,0.0,32.75,paid,,online_store
#4121,2025-06-23 19:00:42,CUST-01381,max.klein896@example.com,Aurora Ceramic Mug,Black / 350ml,2,17.91,0.0,35.82,paid,GB,online_store
#4121,2025-06-23 19:00:42,CUST-01381,max.klein896@example.com,Merino Wool Beanie,Forest,1,32.75,0.0,32.75,paid,GB,online_store
#2835,2025-06-24 10:54:26,CUST-01500,tom.hartmann949@example.com,Aurora Ceramic Mug,Sage / 350ml,1,17.66,0.0,17.66,paid,NL,online_store
#2835,2025-06-24 10:54:26,CUST-01500,tom.hartmann949@example.com,Soy Wax Candle — Cedar,Set of 3,2,23.8,0.0,47.6,paid,NL,online_store
#2835,2025-06-24 10:54:26,CUST-01500,tom.hartmann949@example.com,Organic Cotton Tote,Navy,1,15.23,0.0,15.23,paid,NL,online_store
#3927,2025-06-24 11:21:52,CUST-01099,erik.richter671@example.com,Aurora Ceramic Mug,Sage / 350ml,2,18.43,0.0,36.86,paid,AT,pos
#1880,2025-06-24 12:06:31,CUST-00357,paul.krueger830@example.com,Organic Cotton Tote,Navy,1,15.23,1.6,13.63,refunded,GB,online_store
#1880,2025-06-24 12:06:31,CUST-00357,paul.krueger830@example.com,Walnut Serving Board,Large,1,52.68,6.88,45.8,refunded,GB,online_store
#4257,2025-06-24 13:02:03,CUST-01353,mia.hoffmann469@example.com,Soy Wax Candle — Cedar,Single,1,23.41,0.0,23.41,paid,DE,online_store
#4257,2025-06-24 13:02:03,CUST-01353,mia.hoffmann469@example.com,Soy Wax Candle — Cedar,Single,1,24.14,0.0,24.14,paid,DE,online_store
#4257,2025-06-24 13:02:03,CUST-01353,mia.hoffmann469@example.com,Merino Wool Beanie,Oat,1,32.26,0.0,32.26,paid,DE,online_store
#1535,2025-06-24 14:23:40,CUST-01236,mia.wagner540@example.com,Merino Wool Beanie,Oat,1,31.37,0.0,31.37,paid,CH,instagram
#1535,2025-06-24 14:23:40,CUST-01236,mia.wagner540@example.com,Aurora Ceramic Mug,Black / 350ml,1,18.2,0.0,18.2,paid,CH,instagram
#2325,2025-06-24 16:36:51,CUST-01560,felix.wagner701@example.com,Stoneware Dinner Plate Set,Set of 6,1,98.43,0.0,98.43,paid,AT,online_store
#2744,2025-06-24 18:26:48,CUST-01171,nina.mueller199@example.com,Brass Pour-Over Stand,Standard,1,69.09,0.0,69.09,paid,DE,online_store
#2949,2025-06-24 19:23:01,CUST-00254,ben.schmidt615@example.com,Recycled Glass Vase,Amber,1,43.14,0.0,43.14,paid,DE,online_store
#1266,2025-06-25 09:17:41,CUST-00763,luis.becker922@example.com,Botanical Print A3,Olive,2,28.72,0.0,57.44,paid,DE,online_store
#1266,2025-06-25 09:17:41,CUST-00763,luis.becker922@example.com,Merino Wool Beanie,Forest,1,31.98,0.0,31.98,paid,DE,online_store
#3201,2025-06-25 11:13:31,CUST-00849,felix.schmidt397@example.com,Organic Cotton Tote,Navy,2,14.66,0.0,29.32,paid,US,online_store
#3201,2025-06-25 11:13:31,CUST-00849,felix.schmidt397@example.com,Linen Throw Blanket,Charcoal,2,78.67,0.0,157.34,paid,US,online_store
#3957,2025-06-25 12:56:15,CUST-01324,lena.hoffmann466@example.com,Aurora Ceramic Mug,Black / 350ml,1,18.42,0.0,18.42,paid,DE,instagram
#3638,2025-06-25 13:41:19,CUST-00484,tom.wolf380@example.com,Organic Cotton Tote,Navy,1,15.22,0.0,15.22,refunded,DE,instagram
#2771,2025-06-25 14:16:26,CUST-01229,tom.braun140@example.com,Walnut Serving Board,Small,1,52.49,0.0,52.49,paid,DE,instagram
#3705,2025-06-25 16:12:51,CUST-01023,lena.krueger239@example.com,Soy Wax Candle — Cedar,Set of 3,1,23.53,0.0,23.53,paid,DE,draft_order
#3464,2025-06-25 17:22:51,CUST-01177,max.fischer288@example.com,Linen Throw Blanket,Natural,2,78.66,0.0,157.32,PAID,NL,online_store
#1450,2025-06-25 17:27:35,CUST-01147,erik.richter510@example.com,Organic Cotton Tote,Cream,1,14.77,0.0,14.77,paid,NL,online_store
#1450,2025-06-25 17:27:35,CUST-01147,erik.richter510@example.com,Organic Cotton Tote,Cream,1,14.77,0.0,14.77,paid,NL,online_store
#3268,2025-06-26 11:01:04,CUST-00334,paul.krueger491@example.com,Recycled Glass Vase,Amber,1,41.72,7.17,34.55,paid,GB,online_store
#2852,2025-06-26 11:27:18,CUST-01334,liam.schmidt752@example.com,Botanical Print A3,Eucalyptus,1,28.08,0.0,28.08,paid,FR,online_store
#3619,2025-06-26 12:39:44,CUST-00276,erik.krueger942@example.com,Merino Wool Beanie,Oat,1,32.6,0.0,32.6,paid,US,online_store
#3547,2025-06-26 13:41:15,CUST-01069,julia.wagner310@example.com,Merino Wool Beanie,Oat,1,32.28,0.0,32.28,paid,DE,instagram
#2398,2025-06-26 13:57:05,CUST-00997,erik.schwarz74@example.com,Linen Throw Blanket,Natural,1,79.36,0.0,79.36,paid,DE,online_store
#1249,2025-06-26 14:24:41,CUST-00636,anna.richter586@example.com,Organic Cotton Tote,Cream,1,14.57,3.08,11.49,paid,US,instagram
#1249,2025-06-26 14:24:41,CUST-00636,anna.richter586@example.com,Brass Pour-Over Stand,Standard,1,68.36,10.85,57.51,paid,US,instagram
#4521,2025-06-26 17:49:17,CUST-00508,mia.klein247@example.com,Brass Pour-Over Stand,Standard,1,68.94,0.0,68.94,paid,GB,online_store
#4161,2025-06-26 19:54:07,CUST-00849,felix.schmidt397@example.com,Linen Throw Blanket,Charcoal,1,81.15,0.0,81.15,paid,US,online_store
#1435,2025-06-27 10:11:00,CUST-00928,julia.braun621@example.com,Soy Wax Candle — Cedar,Single,1,24.43,0.0,24.43,paid,DE,online_store
#1169,2025-06-27 10:21:41,CUST-00020,laura.neumann142@example.com,Soy Wax Candle — Cedar,Set of 3,1,24.4,0.0,24.4,paid,US,online_store
#1169,2025-06-27 10:21:41,CUST-00020,laura.neumann142@example.com,Soy Wax Candle — Cedar,Set of 3,1,23.85,0.0,23.85,paid,US,online_store
#2211,2025-06-27 12:13:43,CUST-01286,laura.hoffmann400@example.com,Walnut Serving Board,Small,1,52.83,0.0,52.83,paid,AT,online_store
#2211,2025-06-27 12:13:43,CUST-01286,laura.hoffmann400@example.com,Walnut Serving Board,Large,1,52.83,0.0,52.83,paid,AT,online_store
#4493,2025-06-27 13:16:29,CUST-01238,mia.koch760@example.com,Soy Wax Candle — Cedar,Single,3,24.5,0.0,73.5,paid,GB,instagram
#2088,2025-06-27 14:40:28,CUST-01462,tom.wolf307@example.com,Linen Throw Blanket,Rust,3,80.44,0.0,241.32,paid,US,online_store
#3059,2025-06-27 14:47:02,CUST-01210,sofia.braun446@example.com,Soy Wax Candle — Cedar,Set of 3,1,23.43,3.26,20.17,paid,GB,instagram
#2188,2025-06-27 14:59:38,CUST-00055,erik.schmidt430@example.com,Walnut Serving Board,Small,1,53.04,0.0,53.04,paid,GB,pos
#2188,2025-06-27 14:59:38,CUST-00055,erik.schmidt430@example.com,Brass Pour-Over Stand,Standard,1,66.4,0.0,66.4,PAID,GB,pos
#1248,2025-06-27 17:01:48,CUST-01575,jonas.braun879@example.com,Soy Wax Candle — Cedar,Single,1,24.39,0.0,24.39,paid,FR,online_store
#2785,2025-06-27 20:07:13,CUST-00577,jonas.hoffmann603@example.com,Stoneware Dinner Plate Set,Set of 6,1,96.63,0.0,96.63,paid,GB,online_store
#2785,2025-06-27 20:07:13,CUST-00577,jonas.hoffmann603@example.com,Merino Wool Beanie,Oat,1,31.99,0.0,31.99,paid,GB,online_store
#2785,2025-06-27 20:07:13,CUST-00577,jonas.hoffmann603@example.com,Recycled Glass Vase,Smoke,1,42.62,0.0,42.62,paid,GB,online_store
#3631,2025-06-27 21:29:33,CUST-00120,luis.schmidt359@example.com,Botanical Print A3,Eucalyptus,3,28.04,0.0,84.12,paid,DE,online_store
#2207,2025-06-27 22:37:15,CUST-00104,julia.braun562@example.com,Merino Wool Beanie,Black,1,31.13,0.0,31.13,paid,US,online_store
#2445,2025-06-28 11:54:54,CUST-01622,julia.wolf164@example.com,Recycled Glass Vase,Amber,2,41.0,0.0,82.0,paid,DE,online_store
#1448,2025-06-28 15:38:21,CUST-00673,laura.richter327@example.com,Linen Throw Blanket,Charcoal,1,77.47,0.0,77.47,paid,GB,online_store
